factor_indices,factor_weights,month,cluster_id
"[6, 9, 11, 18, 32, 37, 39, 41, 42, 45, 46]","[-0.6763836200591602, 0.45180571472619335, 0.44057403379314114, 0.3807827167855169, 0.22171511495190654, 0.21183512975999444, 0.5556331864032305, 0.36821650769852465, 0.12382480346363917, -0.2294947591583398, 0.7017573711582513]",1963-07-31,1
[],[],1963-07-31,2
"[3, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 27, 43]","[0.8854040746361124, -0.3601314145339308, 0.7573494021687934, -0.5939969947294736, -0.2304818968312447, -0.6706672221747306, 0.601690704492394, 0.16339243622020863, 0.6442185697362985, -0.3817111543208299, 0.55273099031361, 0.6729261587322181, 0.20347545009473275]",1963-07-31,3
"[1, 2, 4, 5, 13, 16, 24, 25, 30, 31, 40, 44]","[0.15414130125387454, -0.3966374700841621, 0.22003087620831252, -0.5704619826050596, 0.6912112116510621, -0.3084479911965231, 0.5142422955672918, -0.6739000437602907, 0.43441214056606287, -0.30407146714775857, -0.17172674783747702, 0.23215680997387342]",1963-07-31,4
"[3, 10, 11, 14, 15, 16, 18, 19, 22, 30, 31, 32, 39, 40, 43, 44, 46]","[1.0022968743264604, -0.5460747442459627, -0.5159924866224993, -0.4499174597806368, -0.9141776738234657, -0.698790767677657, -0.5584214830529828, 0.28167876301689426, -0.526432957729006, -0.3685266787021225, -0.36007452015316616, 1.2271762329087725, 0.5557661604697257, -0.35001329133326337, 0.2556089531178021, 0.5699595009360607, 0.7103133189685329]",1963-08-31,1
"[12, 17, 27, 38]","[0.4063929432962182, -0.3201482301387739, -0.7611185399757188, 0.43473972649131304]",1963-08-31,2
"[2, 4, 5, 13, 23, 24, 25, 37, 41, 42]","[-0.36855647461393903, 0.43653364727574234, -0.5661645389968918, 0.8082781618639574, 0.3424298292007988, 0.4426738821950912, -0.6549034285155733, 0.5154533180456515, 0.547965849328905, 0.5493334140063663]",1963-08-31,3
"[1, 6, 9, 20, 21, 45]","[0.37176134015953166, 0.35466875687840904, 0.24969973397013387, 0.40512714970671543, 0.35387519160717334, 0.29968303418465475]",1963-08-31,4
"[2, 4, 5, 6, 10, 11, 13, 15, 17, 19, 20, 22, 23, 24, 25, 30, 31, 37, 39, 40, 43, 45]","[0.3746462233032769, -0.32370937403840516, 0.8762391056419908, -0.5859610955354241, -1.3016506938375227, -0.5488307691499634, -0.8602503074727188, -0.5626292044536604, -0.835697369886597, 0.33486874190484234, -0.46010228619140114, 0.16314546896135512, -0.6708424010648929, -1.0438861857922017, 0.6551430752740686, -0.6719711839650448, 0.3645718020382743, 1.2001474075456253, 0.6841434470221381, -0.5381039278176776, 0.43245250424022935, -0.45589389683848014]",1963-09-30,1
"[1, 3, 9, 12, 16, 18, 21, 27, 38, 41, 42, 46]","[0.348155722319071, -0.5627044532789656, -0.38056699260698695, -0.5697962592828814, -0.2319983006184737, -0.5723085843399307, -0.45780312783030697, -0.3604735741519359, -0.8271776474029532, -1.3669721203743792, -1.0248800118988672, -1.0281216858457987]",1963-09-30,2
[44],[-0.171041796696614],1963-09-30,3
"[14, 32]","[0.3158789408725957, 1.10010049386376]",1963-09-30,4
"[1, 44]","[0.4019614252715123, 0.43236383681608714]",1963-10-31,1
"[3, 9, 14, 19]","[0.5933475030339288, 0.4182655708036079, -0.49123310298762873, 0.5620055247345888]",1963-10-31,2
[24],[-0.5859187394670387],1963-10-31,3
"[2, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 27, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 45, 46]","[0.8385702890937363, -0.6918372917715823, 1.055999452997857, 0.523433899976335, -1.0062034787379304, -0.6363294842338404, 0.8907302252437487, -1.299311697724742, 1.05166906717507, 1.0352016774868333, -0.47287550535189116, -0.9908734306347295, -0.7822094230249533, 0.5083968496357151, 0.7664259209704338, -0.43077934497220155, 1.4737869553090832, -1.6405031822171565, -0.9354863816693918, 0.7011503306339831, -0.2920081044434307, -0.7456647880116929, 0.6135548085731906, 0.7227387797134583, -0.2018354584532473, -0.8311009189311964, -0.2607653533055383, -0.44784924359100375, 0.4571812053262421, 0.9855742846425053]",1963-10-31,4
"[11, 14]","[0.5537607940712546, -0.3770452615300928]",1963-11-30,1
"[3, 5, 10, 12, 13, 15, 17, 19, 20, 21, 25, 27, 30, 32, 37, 38, 39, 40, 42, 43, 46]","[3.130129376545614, 2.611323408542929, -6.755242148744287, 3.398293532377393, -3.80333387070759, -1.4546643851095287, -3.800360179874292, 1.5329137261353036, -2.6200002279897543, 2.8447277860855538, 3.3238843059012493, -4.436711939705163, -4.225867026259473, 0.4575976778702021, 2.379828370092318, 4.95793392973666, 5.403891521258217, 5.184828643545954, -3.3080972984332377, 0.8972553363832031, 6.576498449617112]",1963-11-30,2
[],[],1963-11-30,3
"[1, 2, 4, 6, 9, 16, 18, 22, 23, 24, 31, 41, 44, 45]","[2.339166978200502, -1.4251765810527608, 1.6795653812233677, 1.7774222211203314, -2.175785326095049, -0.989659656577899, -2.2626103692082693, -0.5414163454300357, 1.9962100879420641, 3.1685873706213172, -0.6646073097779164, -0.3819680479627427, 2.7976473747223345, 2.4739847994398625]",1963-11-30,4
"[12, 13, 23, 25, 42]","[-0.6042440995612643, 0.6842844547515442, 0.46057474069681786, -0.7180460204338461, 0.3831737436371082]",1963-12-31,1
"[14, 32]","[-0.3094355823920662, 0.24871052235994784]",1963-12-31,2
"[2, 3, 4, 10, 11, 16, 18, 21, 22, 24, 27, 31, 40]","[0.4277141198841805, -0.4405292970335372, -0.5674348228195374, -0.44785801819516924, -0.41784352223508836, 0.3674650492277163, -0.31040877761614427, -0.34454853597209384, 0.36225669458681947, -0.7271787408077925, -0.396087402150603, 0.36817829369053884, 0.2822759898319459]",1963-12-31,3
"[1, 5, 6, 9, 15, 17, 19, 20, 30, 37, 38, 39, 41, 43, 44, 45, 46]","[-0.3668732515197619, 0.5399817753691203, -0.7547434682122349, 0.4075790843089471, -0.6608116092250279, -0.7762240215680284, 0.41197510388122344, -0.4174774170518024, -0.6493089343501037, -0.38764348415608374, 1.013835841038453, 0.6753049029872831, -0.44387328218621114, 0.4989552565934882, -1.0794404252130718, -0.45922158412248726, 0.9782801415059995]",1963-12-31,4
"[21, 40]","[0.3275799090126012, -0.42680792679367163]",1964-01-31,1
"[3, 9, 12, 15, 17, 45]","[-0.7325189427438775, -0.4159119661666212, -0.5236716228639282, 0.5752001609979649, 0.4592067034972119, 0.38873839448350034]",1964-01-31,2
"[1, 2, 4, 5, 6, 10, 11, 13, 14, 16, 18, 19, 20, 22, 23, 24, 25, 27, 30, 31, 32, 37, 38, 39, 41, 42, 43, 44, 46]","[-1.5147775156028338, 1.4850492643969815, -1.2998989979299462, 1.737156349185422, -0.8020149348672034, -1.3432225582877817, -0.7867997567764494, -1.3162823590160606, 0.7854405862415884, 1.1630351481386643, -0.5339989040661991, -0.6122864897413586, -1.3112647424100972, 1.22492433543816, -1.738596723782908, -2.107874059074082, 1.341889382406081, -1.3671916690500179, -2.742699123126016, 1.5544381589051315, -1.3239681379111254, -1.1119174841052661, 1.2088199331187948, 0.9603148437727544, -1.1481426461332835, -2.757611294776505, 0.9432581337201635, -2.3262723733922095, 1.310054068217244]",1964-01-31,3
[],[],1964-01-31,4
[],[],1964-02-29,1
"[23, 32, 38]","[-0.3282839992914392, 0.34603840371433037, 0.28160226133621646]",1964-02-29,2
"[2, 4, 5, 9, 11, 13, 14, 15, 16, 19, 21, 22, 24, 25, 27, 30, 31, 39, 40, 45, 46]","[0.9476698640610965, -1.3553082125516562, 0.7840037756273066, -0.9939119588303926, -0.4909826179318005, -1.1241356451032694, 1.3508864478719407, 0.4713276854904987, 0.6942878143558608, -0.5785579111255703, -0.5691441008976665, 0.42027211095362776, -0.9667550148562072, 0.606852753475601, -1.4198558642604169, -1.2626949387326354, 0.8745303200303528, 0.25293195166895144, -0.8206131360754391, 0.5245869022702444, 0.5028865862013124]",1964-02-29,3
"[1, 3, 6, 10, 12, 17, 18, 20, 37, 41, 42, 43, 44]","[0.4317343711673141, -0.4980479832263052, 0.3340435699601353, 1.525323109792894, 0.3400083491891348, 0.5737635424952753, 1.095708512794862, 0.5909036262320009, -1.096014662612005, -1.4302542493228998, -0.5108680562626975, 0.4918841153582685, -0.3606183196010893]",1964-02-29,4
[],[],1964-03-31,1
"[6, 12]","[0.348975432816822, 0.42203921636861536]",1964-03-31,2
"[4, 5, 23, 43]","[-0.7624242856117427, 0.9785159050833139, -0.6185658995113867, 0.10430979840021198]",1964-03-31,3
"[1, 2, 3, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 30, 31, 32, 37, 38, 39, 40, 41, 42, 44, 45, 46]","[-0.8682422694674807, 1.3065363061753819, -0.8382018168512542, -1.0774862329839885, -2.636675156998684, -1.9261625141103669, -1.7582900275963862, 1.4502948486621041, 0.9047641417589235, 0.9778333918502666, -0.632094071178345, -2.1421126550274625, -1.560573726966075, -2.23582956866051, -0.6468726060203659, 0.7433510642958852, -1.5285342443593772, 0.9957981055928173, -1.8717244127965746, -1.3226176635220384, 1.0215925121087288, -0.9119338505229938, 1.1070111954598945, 0.22456887960966346, 0.30713887648192534, -1.2291151585663285, 0.9391044938444637, -0.6656788018227121, -0.5485792919092882, 0.49311590821389983, 0.37885476201728285]",1964-03-31,4
"[21, 42]","[-0.4372385488379523, -0.5074916616899481]",1964-04-30,1
"[1, 3, 6, 11, 18, 20, 23, 37, 41]","[0.5154113109737303, -0.08435788406822851, 0.10659825168003646, 0.5941646016427274, 0.5842783013510787, 0.5969457490478672, 0.5841776215528931, -0.5368957509486655, -0.5768004619035223]",1964-04-30,2
"[10, 14, 17, 32, 45]","[-0.9236718285643248, 0.3476276865231117, -1.039961850522588, -0.3448234061523915, 0.44558367642597735]",1964-04-30,3
"[2, 4, 5, 9, 12, 13, 15, 16, 19, 22, 24, 25, 27, 30, 31, 38, 39, 40, 43, 44, 46]","[1.0515208200225978, -1.110139063901681, 0.9157769654822122, -0.3627316102722453, 0.27542451537108836, -0.6962533399412716, 0.37003817518212584, 1.036331912472271, 0.19941220345153418, 0.6427403191984059, -1.2312304026594527, 0.9592732665483003, -0.48458743959004136, -1.274330833396884, 0.582290369448068, 0.7218175896940271, 0.5279398460525738, -0.7630146680746339, 0.6528874088057433, -0.4100480247576266, 0.7901709299793989]",1964-04-30,4
"[3, 9, 14, 19, 20, 21, 27, 37, 40, 41, 42, 43]","[0.3160486866238334, 0.26618313176946373, 0.6709873096725855, -0.23613770959954267, -1.3061800031086126, -0.2030698422047913, -1.4493341731729443, 0.855844081627945, -0.3977301280991276, 1.0650638458742039, 0.6307196419785872, -0.19026150730119618]",1964-05-31,1
[],[],1964-05-31,2
"[2, 15, 31]","[-0.6479776130155184, -0.4266632055240868, -0.42319153460896164]",1964-05-31,3
"[1, 4, 5, 6, 10, 11, 12, 13, 16, 17, 18, 22, 23, 24, 25, 30, 32, 38, 39, 44, 45, 46]","[-0.6882515036452939, -0.747757609125905, 0.6289964764056567, -0.8109480475128337, -0.7065106150435443, -0.43664801747858717, 0.5089820683343129, -1.173187629505947, 0.5469968507266184, -0.8615881363567646, -0.34695956505934566, 0.4338125927461599, -0.5505068142494012, -0.7055277952255378, 0.9629380138910237, -0.5096086129153126, 0.3872742493498823, 0.6962593108544453, 0.4348197891216234, -0.4958340666807094, -0.4240548922146701, 0.80093252743778]",1964-05-31,4
"[2, 17, 20, 22, 23, 24, 31, 44]","[0.6234392031472032, -0.515227380936735, -0.44083575364789634, 0.462558992845035, -0.7411599857563369, -1.085341871070208, 0.32685016282072293, -0.19752104104057505]",1964-06-30,1
"[10, 14, 27]","[0.4938456704567369, -0.18268529787082943, 0.2745540471921464]",1964-06-30,2
"[9, 13, 15, 16]","[0.35940618083738163, -0.8721134329486308, 0.38476044657343533, 0.45548166835414283]",1964-06-30,3
