Month,Cluster_ID,Factors
1963-07-31,3,"[-0.06135121  0.17527976  0.31640106  0.13228693  0.38839168 -0.67638362
  0.          0.          0.45180571  0.26969069  0.44057403  0.36656998
 -0.31364367 -0.55688855 -0.13762386  0.          0.37785362  0.38078272
  0.07023107  0.07118502  0.31760848  0.          0.         -0.30396247
  0.28362649  0.         -0.14384604  0.          0.         -0.16097121
  0.          0.22171511  0.          0.          0.          0.
  0.21183513  0.          0.55563319  0.10650407  0.36821651  0.1238248
  0.13864172 -0.06700895 -0.22949476  0.70175737  0.        ]"
1963-07-31,0,"[ 0.13810649  0.23845655 -0.31102039 -0.17663232  0.          0.35547587
  0.          0.         -0.05796095 -0.2714472  -0.27199553 -0.28981769
  0.          0.09574008  0.12028847  0.22919466  0.3835804  -0.1490303
 -0.19837727  0.          0.          0.19183966 -0.18054233 -0.25299745
  0.          0.         -0.14561604  0.          0.          0.
  0.19284508 -0.15099307  0.          0.          0.          0.
 -0.05802659  0.         -0.18488252 -0.06203484 -0.09773507  0.1238248
 -0.11276719  0.17560182  0.19015215 -0.13251332  0.        ]"
1963-07-31,2,"[ 0.14456693 -0.23282756  0.88540407  0.21921654  0.46877667  0.17250641
  0.          0.          0.         -0.36013141  0.15227604  0.7573494
  0.2260326  -0.59399699 -0.2304819  -0.20861422 -0.67066722  0.30070367
  0.6016907   0.16339244  0.64421857 -0.38171115  0.55273099  0.4235315
  0.2279603   0.          0.67292616  0.          0.         -0.0605097
 -0.20132266 -0.11471671  0.          0.          0.          0.
  0.          0.          0.5244794   0.16006147 -0.05789129  0.1238248
  0.20347545  0.11272074 -0.11728504  0.3222029   0.        ]"
1963-07-31,2,"[ 0.1541413  -0.39663747 -0.2620113   0.22003088 -0.57046198  0.29996253
  0.          0.         -0.11173794  0.16961932  0.         -0.50533374
  0.69121121  0.         -0.07197704 -0.30844799  0.          0.
  0.         -0.09962911 -0.13452565 -0.17471289  0.21894573  0.5142423
 -0.67390004  0.          0.19349592  0.          0.          0.43441214
 -0.30407147  0.          0.          0.          0.          0.
  0.          0.         -0.4638497  -0.17172675  0.          0.1238248
  0.09518745  0.23215681  0.14130072 -0.53138317  0.        ]"
1963-08-31,3,"[ 0.20798837 -0.31122436  1.00229687 -0.16898435  0.56288447  0.06970012
  0.          0.          0.         -0.54607474 -0.51599249  0.34681473
  0.54025749 -0.44991746 -0.91417767 -0.69879077 -0.12363632 -0.55842148
  0.28167876  0.1919623   0.19340699 -0.52643296  0.33866104  0.
 -0.14026607  0.          0.          0.          0.         -0.36852668
 -0.36007452  1.22717623  0.          0.          0.          0.
  0.23149848  0.40700518  0.55576616 -0.35001329  0.44191862  0.
  0.25560895  0.5699595  -0.14253193  0.71031332  0.        ]"
1963-08-31,3,"[-0.24380447  0.21449168  0.3331197  -0.37596369  0.53070004 -0.30966688
  0.          0.          0.         -0.50329604 -0.25922261  0.40639294
 -0.49883868  0.27540893  0.10207002  0.16024104 -0.32014823 -0.21483523
  0.         -0.26822036  0.09021557  0.12101838 -0.06938078 -0.28226013
  0.5348588   0.         -0.76111854  0.          0.         -0.23912049
  0.19432867 -0.08149301  0.          0.          0.          0.
 -0.09188443  0.43473973  0.52764377  0.06358197  0.         -0.49377219
  0.10052941 -0.12057409 -0.18331004  0.6249564   0.        ]"
1963-08-31,1,"[ 0.15764601 -0.36855647 -0.07502791  0.43653365 -0.56616454  0.21069849
  0.          0.          0.18466223  0.32313256  0.25886851 -0.36362526
  0.80827816 -0.23784022 -0.26645581 -0.44025113  0.10069292  0.35291421
  0.13551131  0.16774013 -0.2561621  -0.36407059  0.34242983  0.44267388
 -0.65490343  0.          0.30975495  0.          0.          0.24288847
 -0.34554436  0.42699777  0.          0.          0.          0.
  0.51545332 -0.16549159 -0.20579224 -0.09261588  0.54796585  0.54933341
  0.12950786  0.12339977  0.         -0.25648698  0.        ]"
1963-08-31,3,"[ 0.37176134  0.          0.          0.20944488  0.09515499  0.35466876
  0.          0.          0.24969973  0.08685141  0.25133757  0.16726916
 -0.24853105 -0.35025642  0.          0.0567766  -0.14470538 -0.07258568
 -0.07146178  0.40512715  0.35387519 -0.08798435  0.10171991  0.
  0.10926192  0.          0.2890456   0.          0.          0.
  0.          0.14714739  0.          0.          0.          0.
 -0.05896388 -0.13291696  0.0558374   0.19368372  0.0527247  -0.15149718
 -0.0654008   0.27285577  0.29968303 -0.15782217  0.        ]"
1963-09-30,0,"[-0.13958476  0.37464622  0.41881805 -0.32370937  0.87623911 -0.5859611
  0.          0.          0.11894    -1.30165069 -0.54883077  0.13894564
 -0.86025031  0.21561886 -0.5626292   0.         -0.83569737  0.
  0.33486874 -0.46010229  0.          0.16314547 -0.6708424  -1.04388619
  0.65514308  0.          0.          0.          0.         -0.67197118
  0.3645718   0.          0.          0.          0.          0.
  1.20014741  0.69983603  0.68414345 -0.53810393  1.31784341  0.69061993
  0.4324525  -0.05968427 -0.4558939   0.95634404  0.        ]"
1963-09-30,2,"[ 0.34815572 -0.09004855 -0.56270445  0.19640289 -0.52122587  0.33300537
  0.          0.         -0.38056699 -0.27009095 -0.35782172 -0.56979626
  0.38500928  0.25601489  0.10356469 -0.2319983   0.         -0.57230858
 -0.25953698 -0.13776592 -0.45780313 -0.10140707  0.16886233  0.12307594
 -0.59315537  0.         -0.36047357  0.          0.          0.
  0.          0.45204743  0.          0.          0.          0.
 -1.14497875 -0.82717765 -0.67694767  0.38952899 -1.36697212 -1.02488001
 -0.21730673  0.1359905   0.16183904 -1.02812169  0.        ]"
1963-09-30,2,"[-0.06452195  0.12481522 -0.0875337   0.06930484  0.         -0.1120983
  0.          0.         -0.08639614  0.12985215 -0.06419726  0.
 -0.07029556  0.10870138  0.11048818  0.11422807  0.05595075  0.15245428
 -0.11726674 -0.20803683 -0.08114288  0.          0.         -0.19941311
  0.          0.          0.          0.          0.         -0.11816414
  0.13339551 -0.49218895  0.          0.          0.          0.
 -0.32016878 -0.11847435 -0.16189052  0.08082763 -0.39871442 -0.58144199
 -0.0590733  -0.1710418   0.         -0.20181954  0.        ]"
1963-09-30,3,"[ 0.1458918   0.          0.24377594 -0.12292849  0.17651693 -0.08415344
  0.          0.          0.37899558 -0.54482343 -0.33621232  0.
  0.11226674  0.31587894 -0.21610882 -0.15116265 -0.11146791 -0.30042898
  0.08792864  0.         -0.05053973 -0.12769592  0.         -0.11254006
 -0.07100065  0.         -0.14478061  0.          0.          0.
  0.          1.10010049  0.          0.          0.          0.
  0.50930399  0.22682097  0.08572772  0.41369347  0.58530104  0.27617212
 -0.14834846  0.07083341  0.          0.2199933   0.        ]"
1963-10-31,2,"[ 0.40196143 -0.10145734 -0.24753108  0.22608803 -0.29452946  0.33931718
  0.          0.         -0.32698348  0.11121664  0.2353739  -0.2800779
  0.28800325  0.          0.21256316  0.          0.22746546 -0.12271399
 -0.28908581  0.33239006  0.13015557 -0.13954724  0.39522992  0.41070004
 -0.33445144  0.          0.34309903  0.          0.          0.35867619
 -0.14290059 -0.09710003  0.          0.          0.          0.
  0.25049411 -0.45184753 -0.26342527  0.17079085  0.3252812   0.14417736
 -0.18280605  0.43236384  0.45642896 -0.38480347  0.        ]"
1963-10-31,0,"[ 0.         -0.23809399  0.5933475   0.32120419  0.29494561  0.14007194
  0.          0.          0.41826557 -0.09259363  0.36471297  0.48487625
  0.         -0.4912331  -0.56225282 -0.41678927 -0.10718452  0.39105634
  0.56200552  0.35599712  0.35075263 -0.25151203  0.          0.
  0.13826962  0.          0.15894684  0.          0.          0.
 -0.14489661  0.25789869  0.          0.          0.          0.
 -0.34562944  0.24134341  0.33844972  0.         -0.25758847 -0.18723533
  0.40853527  0.08000877  0.06083638  0.33606254  0.        ]"
1963-10-31,3,"[-0.19983283  0.37698615  0.26437156 -0.19032553  0.53720983  0.08965657
  0.          0.          0.28172947 -0.47473351 -0.13287773  0.30885868
 -0.40353762  0.16537595  0.06022631  0.23478953 -0.35037417 -0.06539699
  0.05119987  0.          0.05857273  0.16943614 -0.31427565 -0.58591874
  0.47714909  0.         -0.44693921  0.          0.         -0.14195416
  0.33162591 -0.12502774  0.          0.          0.          0.
  0.          0.26416905  0.14610973 -0.14319203  0.         -0.24778816
 -0.14765989 -0.31424332  0.13042247  0.20049997  0.        ]"
1963-10-31,2,"[-0.12444999  0.83857029  0.32669336 -0.69183729  1.05599945  0.5234339
  0.          0.         -0.06607739 -1.00620348 -0.63632948  0.89073023
 -1.2993117   0.41813725  1.05166907  1.03520168 -0.47287551 -0.99087343
 -0.26284323 -0.78220942  0.50839685  0.76642592 -0.43077934 -0.57080951
  1.47378696  0.         -1.64050318  0.          0.         -0.93548638
  0.70115033 -0.2920081   0.          0.          0.          0.
 -0.74566479  0.61355481  0.72273878 -0.20183546 -0.83110092 -0.26076535
 -0.44784924  0.12942164  0.45718121  0.98557428  0.        ]"
1963-11-30,2,"[ 0.          0.25992609  0.82249592 -0.14236314  0.77756418 -0.0967705
  0.          0.          0.54053269 -0.33602787  0.55376079  1.24217908
 -1.07686518 -0.37704526 -0.27560503  0.29583107 -0.29932059  0.87831869
  0.91687644  0.48202706  0.52339127  0.10485658 -0.08556554 -0.47641017
  1.0580378   0.         -0.15303115  0.          0.         -0.63605899
  0.09161008  0.18340854  0.          0.          0.          0.
  0.38919345  1.01483022  0.9609738   1.47253495 -0.05846696 -0.35879186
  0.2253798   0.157615   -0.27244074  1.41699164  0.        ]"
1963-11-30,2,"[ 0.46514914  1.27647683  3.13012938 -1.33764064  2.61132341 -1.16369343
  0.          0.          1.10597987 -6.75524215  0.0568195   3.39829353
 -3.80333387 -0.31275716 -1.45466439  0.6734416  -3.80036018  1.27584318
  1.53291373 -2.62000023  2.84472779  0.         -0.61810812 -3.00573072
  3.32388431  0.         -4.43671194  0.          0.         -4.22586703
  0.21633937  0.45759768  0.          0.          0.          0.
  2.37982837  4.95793393  5.40389152  5.18482864  0.34839446 -3.3080973
  0.89725534 -1.10463834 -0.59839419  6.57649845  0.        ]"
1963-11-30,2,"[ 0.06155959  0.         -0.43970069 -0.1027304  -0.32959334  0.08767177
  0.          0.         -0.1618573   0.67521203 -0.11632669 -0.25060126
 -0.10571995  0.06138439  0.06829286  0.10346375  0.55891017  0.13362493
 -0.1308143   0.         -0.19049066  0.15062272 -0.18550481  0.
 -0.09858528  0.          0.20900684  0.          0.          0.26780893
  0.16111947  0.          0.          0.          0.          0.
 -0.32524945 -0.34549209 -0.26122996 -0.33141031 -0.19199876  0.14573431
  0.         -0.0814368   0.21390816 -0.42571672  0.        ]"
1963-11-30,2,"[ 2.33916698 -1.42517658 -1.95293468  1.67956538 -2.11619856  1.77742222
  0.          0.         -2.17578533  1.89513407 -0.10386531 -2.23744438
  3.09862172 -0.12093913  1.1029391  -0.98965966  0.46447638 -2.26261037
 -1.03070812  2.4233349  -2.82158324 -0.54141635  1.99621009  3.16858737
 -2.98261093  0.          2.16391243  0.          0.          2.12174712
 -0.66460731 -0.13920994  0.          0.          0.          0.
 -1.8965517  -4.49309413 -3.98186672 -4.00646467 -0.38196805  1.48326092
 -0.46175982  2.79764737  2.4739848  -5.06003798  0.        ]"
